Timestamp,CPU1 (%),CPU2 (%),CPU3 (%),CPU4 (%),GPU (%),Temp SOC0 (°C),Temp CPU (°C),Temp GPU (°C)
2025-04-22 01:33:42,52,48,47,52,40.0,46.656,46.781,47.5
2025-04-22 01:33:53,55,52,55,48,63.2,46.687,47.187,47.531
2025-04-22 01:34:04,52,59,50,46,34.2,46.593,47.375,47.625
2025-04-22 01:34:15,45,54,57,61,65.9,46.593,47.062,47.562
2025-04-22 01:34:26,62,52,56,37,0.0,46.781,47.281,47.562
2025-04-22 01:34:37,45,55,53,59,10.1,46.625,47.125,47.906
2025-04-22 01:34:48,49,48,58,45,0.0,46.718,47.062,47.593
2025-04-22 01:34:59,51,53,53,61,0.0,46.656,46.843,47.75
2025-04-22 01:35:10,59,38,47,53,0.0,46.593,47.0,47.812
2025-04-22 01:35:21,48,61,43,63,53.9,46.562,46.843,47.812
2025-04-22 01:35:32,38,50,42,47,25.5,46.593,46.906,47.625
2025-04-22 01:35:43,52,61,55,55,0.0,46.593,47.156,48.0
2025-04-22 01:35:54,57,56,51,52,51.5,46.781,47.375,47.593
2025-04-22 01:36:05,57,49,56,56,10.8,46.593,47.218,47.562
2025-04-22 01:36:16,52,40,44,100,0.0,46.593,47.312,47.656
2025-04-22 01:36:27,69,43,40,46,42.5,46.687,47.343,48.031
2025-04-22 01:36:38,62,57,48,48,56.7,46.718,47.0,47.781
2025-04-22 01:36:49,52,51,49,60,0.0,46.625,47.125,47.562
2025-04-22 01:37:00,55,58,54,60,0.0,46.625,47.156,47.906
2025-04-22 01:37:11,41,41,51,65,32.9,46.625,47.281,47.812
2025-04-22 01:37:22,52,47,66,44,30.4,46.75,47.25,47.75
2025-04-22 01:37:33,57,49,58,55,0.0,46.625,47.031,47.781
2025-04-22 01:37:44,49,54,46,56,7.7,46.593,47.125,47.687
2025-04-22 01:37:55,64,56,62,48,0.0,46.656,47.187,47.812
2025-04-22 01:38:06,57,44,52,55,54.5,46.75,47.25,47.812
2025-04-22 01:38:17,57,45,54,45,39.8,46.718,47.25,47.593
2025-04-22 01:38:28,61,37,54,61,0.0,46.781,47.343,47.812
2025-04-22 01:38:39,49,49,46,53,0.0,46.593,47.375,47.625
2025-04-22 01:38:50,46,40,47,62,0.0,46.687,47.312,47.656
2025-04-22 01:39:01,54,44,58,47,0.0,46.812,46.843,47.656
2025-04-22 01:39:12,48,35,50,55,0.0,46.781,46.937,47.531
2025-04-22 01:39:23,49,45,59,62,0.0,46.718,47.25,47.562
2025-04-22 01:39:34,48,64,47,66,7.5,46.812,47.406,47.687
2025-04-22 01:39:45,63,53,49,54,0.0,46.718,47.093,47.812
2025-04-22 01:39:56,54,55,50,47,0.0,46.656,47.156,47.812
2025-04-22 01:40:07,43,63,46,35,0.0,46.687,47.0,47.593
2025-04-22 01:40:19,68,46,37,50,10.4,46.781,46.937,47.812
2025-04-22 01:40:29,47,62,51,46,0.0,46.75,47.187,47.687
2025-04-22 01:40:41,49,54,57,49,54.7,46.718,46.968,47.687
2025-04-22 01:40:51,45,53,36,58,0.0,46.593,47.281,47.625
2025-04-22 01:41:03,42,75,42,39,7.7,46.562,47.218,47.937
